ProductID,ProductName,Category,UnitPrice,StockStatus,StockQuantity
2000,Electronics-Signal,Electronics,969.31,In Stock ,10
2001,Electronics-Boost,Electronics,412.35,In Stock ,4
2002,Office-Family,Office,866,In Stock ,22
2003,Electronics-Training,Electronics,385.18,In Stock ,26
2004,Office-Where,Office,927.25,In Stock ,5
2005,Office-Huge,Office,428.78,In Stock ,2
2006,Office-Class,Office,198,In Stock ,12
2007,Clothing-Over,Clothing,583.39,In Stock ,5
2008,Electronics-Skin,Electronics,66.59,In Stock ,8
2009,Office-Raise,Office,66.31,In Stock ,12
2010,Electronics-Themselves,Electronics,77.84,Out of Stock,0
2011,Electronics-Religious,Electronics,409.74,Discontinued,1
2012,Clothing-Artist,Clothing,623.19,In Stock ,9
2013,Office-Cultural,Office,935.36,In Stock ,4
2014,Clothing-Eat,Clothing,246.3,Out of Stock,0
2015,Office-Itself,Office,674.97,Out of Stock,0
2016,Home-He,Home,323.02,In Stock ,4
2017,Electronics-Feeling,Electronics,463.7,In Stock ,22
2018,Electronics-Nature,Electronics,542.26,In Stock ,16
2019,Home-History,Home,933.93,Backordered,0
2020,Electronics-Share,Electronics,375.83,Out of Stock,0
2021,Clothing-Skill,Clothing,835.41,In Stock ,10
2022,Home-Economy,Home,671.18,In Stock ,11
2023,Home-Yeah,Home,939.54,Out of Stock,0
2024,Clothing-Paper,Clothing,124.27,Backordered,0
2025,Electronics-Assume,Electronics,279.62,Discontinued,2
2026,Clothing-Use,Clothing,211.56,Out of Stock,0
2027,Home-Purpose,Home,258.61,Backordered,0
2028,Electronics-Take,Electronics,637.94,In Stock ,9
2029,Home-Yourself,Home,13.51,Out of Stock,0
2030,Clothing-First,Clothing,169.97,Backordered,0
2031,Office-Develop,Office,565.3,In Stock ,17
2032,Electronics-There,Electronics,945.6,Discontinued,1
2033,Clothing-Argue,Clothing,836.25,In Stock ,19
2034,Clothing-Feel,Clothing,136.17,In Stock ,14
2035,Home-According,Home,899.99,Discontinued,0
2036,Electronics-Candidate,Electronics,217.98,In Stock ,5
2037,Clothing-Meeting,Clothing,360.14,Backordered,0
2038,Office-Soon,Office,926.51,Out of Stock,0
2039,Clothing-Need,Clothing,976.44,In Stock ,13
2040,Clothing-Determine,Clothing,34.54,In Stock ,13
2041,Home-Assume,Home,804.21,Out of Stock,0
2042,Clothing-Lawyer,Clothing,167.61,In Stock ,18
2043,Electronics-Practice,Electronics,873.45,Out of Stock,0
2044,Office-Society,Office,207.58,In Stock ,20
2045,Office-Next,Office,312.14,In Stock ,25
2046,Clothing-Worry,Clothing,33.43,Out of Stock,0
2047,Clothing-Hair,Clothing,334.98,In Stock ,36
2048,Electronics-Candidate,Electronics,357.63,In Stock ,26
2049,Office-Easy,Office,939.84,Out of Stock,0
2050,Electronics-Young,Electronics,186.78,In Stock ,14
2051,Home-Century,Home,117.32,Out of Stock,0
2052,Office-Year,Office,731.26,In Stock ,2
2053,Home-Ground,Home,610.15,In Stock ,5
2054,Electronics-Above,Electronics,900.51,Out of Stock,0
2055,Clothing-Politics,Clothing,53.94,In Stock ,1
2056,Office-About,Office,524.72,Out of Stock,0
2057,Clothing-Identify,Clothing,436.98,In Stock ,2
2058,Home-Wear,Home,666.75,Out of Stock,0
2059,Electronics-Clear,Electronics,512.05,In Stock ,6
2060,Office-Term,Office,408.38,In Stock ,8
2061,Home-Quite,Home,199.92,Discontinued,0
2062,Office-Receive,Office,619.36,Discontinued,1
2063,Home-Good,Home,552.46,Out of Stock,0
2064,Electronics-Stop,Electronics,294.04,In Stock ,4
2065,Office-Animal,Office,470.34,In Stock ,4
2066,Office-Occur,Office,516.06,Out of Stock,0
2067,Clothing-Remain,Clothing,290.95,In Stock ,8
2068,Home-Read,Home,820.24,In Stock ,13
2069,Clothing-Garden,Clothing,232.39,Out of Stock,0
2070,Clothing-About,Clothing,34.18,Backordered,0
2071,Clothing-Success,Clothing,615.16,Out of Stock,0
2072,Electronics-Become,Electronics,420.3,Out of Stock,0
2073,Clothing-Executive,Clothing,499.43,In Stock ,15
2074,Clothing-Strong,Clothing,659.5,In Stock ,13
2075,Electronics-Letter,Electronics,780.64,Backordered,0
2076,Clothing-Affect,Clothing,806.07,Out of Stock,0
2077,Office-Ball,Office,561.83,In Stock ,8
2078,Electronics-Film,Electronics,142.01,In Stock ,28
2079,Office-Who,Office,950.54,Out of Stock,0
2080,Office-Doctor,Office,832.26,Backordered,0
2081,Office-Light,Office,746.22,Out of Stock,0
2082,Office-Figure,Office,266.6,In Stock ,19
2083,Clothing-Cut,Clothing,768.16,In Stock ,3
2084,Office-Stuff,Office,281.85,Out of Stock,0
2085,Electronics-Officer,Electronics,242.15,In Stock ,5
2086,Home-Of,Home,894.1,Out of Stock,0
2087,Electronics-Rather,Electronics,159.32,In Stock ,2
2088,Office-Evening,Office,709.35,Discontinued,0
2089,Electronics-Action,Electronics,413.52,In Stock ,13
2090,Office-Staff,Office,71.64,In Stock ,20
2091,Office-Mrs,Office,905.79,Backordered,0
2092,Electronics-Add,Electronics,482.21,Out of Stock,0
2093,Home-Real,Home,755.94,In Stock ,3
2094,Office-Fight,Office,493.35,In Stock ,8
2095,Home-Seem,Home,490.79,In Stock ,2
2096,Office-Discuss,Office,672.18,Out of Stock,0
2097,Office-Recent,Office,842.1,Backordered,0
2098,Clothing-Trouble,Clothing,907.86,Discontinued,0
2099,Electronics-Several,Electronics,646.32,Out of Stock,0
