TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountAmount,PaymentType
1,1/9/2025,1020,2023,401,0,643.02,10,Debit/Credit
2,7/10/2024,1034,2091,404,2,529.24,10,Debit/Credit
3,3/22/2025,1087,2035,403,3,4313.72,25,Cash
4,12/27/2024,1186,2015,404,,1275.85,25,Digital
5,4/21/2025,1049,2005,402,0,1739.64,25,Digital
6,10/30/2024,1093,2054,402,0,1270.12,10,Internal
7,2/20/2025,1005,2097,402,0,644.45,65,Cash
8,10/5/2024,1054,2072,403,3,1833.37,35,Cash
9,11/22/2024,1063,2068,403,3,828.83,10,Debit/Credit
10,8/30/2024,1130,2096,401,1,1594.55,25,Internal
11,11/11/2024,1005,2059,403,0,273.38,35,Debit/Credit
12,4/21/2025,1196,2014,403,3,0,10,Debit/Credit
13,2/16/2025,1128,2064,401,2,1039.94,0,Debit/Credit
14,8/22/2024,1041,2099,401,3,1861.74,10,ACH
15,4/19/2025,1078,2035,401,3,4900.93,45,Digital
16,12/11/2024,1032,2021,403,3,1861.38,10,Cash
17,3/2/2025,1182,2040,404,3,41.46,45,Internal
18,10/14/2024,1058,2000,401,0,1815.57,10,Debit/Credit
19,4/12/2025,1071,2091,402,3,2628.38,35,Debit/Credit
20,11/7/2024,1005,2052,404,0,1969.12,0,Internal
21,7/12/2024,1086,2013,402,3,1325.7,10,Cash
22,11/22/2024,1019,2070,401,,127.04,0,Internal
23,5/21/2025,1060,2091,404,3,1240.87,15,Debit/Credit
24,6/1/2024,1116,2097,404,2,763.17,10,Debit/Credit
25,2/22/2025,1089,2039,404,1,2785.23,45,ACH
26,4/9/2025,1066,2030,404,1,127.5,75,ACH
27,7/5/2024,1144,2033,402,2,821.78,10,Cash
28,1/24/2025,1080,2009,401,0,39.84,10,Debit/Credit
29,9/17/2024,1017,2047,403,2,1975.1,35,Debit/Credit
30,1/16/2025,1020,2013,402,0,1199.52,25,Debit/Credit
31,9/23/2024,1089,2041,404,0,2406.09,0,ACH
32,9/21/2024,1116,2033,402,3,268.15,35,Cash
33,5/13/2025,1038,2047,402,0,1803.01,10,Internal
34,3/19/2025,1091,2035,401,3,3872.65,0,ACH
35,5/6/2025,1116,2022,404,,697.76,15,Cash
36,5/8/2025,1188,2034,402,0,125.51,45,Digital
37,11/25/2024,1032,2029,402,,55.96,10,ACH
38,4/13/2025,1071,2065,404,2,274.92,10,Cash
39,5/22/2025,1020,2039,404,2,4929.06,0,Internal
40,7/19/2024,1048,2079,401,1,814.88,25,ACH
41,1/21/2025,1080,2015,403,3,1409.56,0,Debit/Credit
42,12/15/2024,1005,2022,403,0,459.86,25,Debit/Credit
43,3/15/2025,1082,2056,402,1,603.38,10,Debit/Credit
44,1/21/2025,1023,2096,402,1,337.34,25,Internal
45,6/21/2024,1156,2009,404,1,63.76,25,ACH
46,11/5/2024,1034,2098,401,1,1918.03,25,ACH
47,12/7/2024,1071,2015,404,3,1976.39,25,ACH
48,12/26/2024,1113,2092,404,3,1500.13,25,Debit/Credit
49,11/26/2024,1063,2035,404,2,3710.95,55,Debit/Credit
