TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountAmount,PaymentType
1,2025-01-09,1020,2023,401,0,643.02,10.0,Debit/Credit
2,2024-07-10,1034,2091,404,2,529.24,10.0,Debit/Credit
4,2024-12-27,1186,2015,404,0,1275.85,25.0,Digital
5,2025-04-21,1049,2005,402,0,1739.64,25.0,Digital
6,2024-10-30,1093,2054,402,0,1270.12,10.0,Internal
7,2025-02-20,1005,2097,402,0,644.45,65.0,Cash
8,2024-10-05,1054,2072,403,3,1833.37,35.0,Cash
9,2024-11-22,1063,2068,403,3,828.83,10.0,Debit/Credit
10,2024-08-30,1130,2096,401,1,1594.55,25.0,Internal
11,2024-11-11,1005,2059,403,0,273.38,35.0,Debit/Credit
13,2025-02-16,1128,2064,401,2,1039.94,0.0,Debit/Credit
14,2024-08-22,1041,2099,401,3,1861.74,10.0,Ach
16,2024-12-11,1032,2021,403,3,1861.38,10.0,Cash
17,2025-03-02,1182,2040,404,3,41.46,45.0,Internal
18,2024-10-14,1058,2000,401,0,1815.57,10.0,Debit/Credit
19,2025-04-12,1071,2091,402,3,2628.38,35.0,Debit/Credit
20,2024-11-07,1005,2052,404,0,1969.12,0.0,Internal
21,2024-07-12,1086,2013,402,3,1325.7,10.0,Cash
22,2024-11-22,1019,2070,401,0,127.04,0.0,Internal
23,2025-05-21,1060,2091,404,3,1240.87,15.0,Debit/Credit
24,2024-06-01,1116,2097,404,2,763.17,10.0,Debit/Credit
25,2025-02-22,1089,2039,404,1,2785.23,45.0,Ach
26,2025-04-09,1066,2030,404,1,127.5,75.0,Ach
27,2024-07-05,1144,2033,402,2,821.78,10.0,Cash
28,2025-01-24,1080,2009,401,0,39.84,10.0,Debit/Credit
29,2024-09-17,1017,2047,403,2,1975.1,35.0,Debit/Credit
30,2025-01-16,1020,2013,402,0,1199.52,25.0,Debit/Credit
31,2024-09-23,1089,2041,404,0,2406.09,0.0,Ach
32,2024-09-21,1116,2033,402,3,268.15,35.0,Cash
33,2025-05-13,1038,2047,402,0,1803.01,10.0,Internal
34,2025-03-19,1091,2035,401,3,3872.65,0.0,Ach
35,2025-05-06,1116,2022,404,0,697.76,15.0,Cash
